//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:31
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:fileBrowseGenerator
//-- Table Identifier:002//--    Generated from user inc file 
//--    Useing user File:
//-- /home/nhol .... ects/Speeduino Miata/inc/AEM 30-3130.inc
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
941	18.05	181 	4.595
942	18.05	181 	4.600
943	18.05	181 	4.604
944	18.05	181 	4.609
945	18.05	181 	4.614
946	18.05	181 	4.619
947	18.05	181 	4.624
948	18.05	181 	4.629
949	18.05	181 	4.634
950	18.05	181 	4.639
951	18.05	181 	4.644
952	18.05	181 	4.648
953	18.05	181 	4.653
954	18.05	181 	4.658
955	18.05	181 	4.663
956	18.05	181 	4.668
957	18.05	181 	4.673
958	18.05	181 	4.678
959	18.05	181 	4.683
960	18.05	181 	4.688
961	18.05	181 	4.692
962	18.05	181 	4.697
963	18.05	181 	4.702
964	18.05	181 	4.707
965	18.05	181 	4.712
966	18.05	181 	4.717
967	18.05	181 	4.722
968	18.05	181 	4.727
969	18.05	181 	4.731
970	18.05	181 	4.736
971	18.05	181 	4.741
972	18.05	181 	4.746
973	18.05	181 	4.751
974	18.05	181 	4.756
975	18.05	181 	4.761
976	18.05	181 	4.766
977	18.05	181 	4.771
978	18.05	181 	4.775
979	18.05	181 	4.780
980	18.05	181 	4.785
981	18.05	181 	4.790
982	18.05	181 	4.795
983	18.05	181 	4.800
984	18.05	181 	4.805
985	18.05	181 	4.810
986	18.05	181 	4.814
987	18.05	181 	4.819
988	18.05	181 	4.824
989	18.05	181 	4.829
990	18.05	181 	4.834
991	18.05	181 	4.839
992	18.05	181 	4.844
993	18.05	181 	4.849
994	18.05	181 	4.854
995	18.05	181 	4.858
996	18.05	181 	4.863
997	18.05	181 	4.868
998	18.05	181 	4.873
999	18.05	181 	4.878
1000	18.05	181 	4.883
1001	18.05	181 	4.888
1002	18.05	181 	4.893
1003	18.05	181 	4.897
1004	18.05	181 	4.902
1005	18.05	181 	4.907
1006	18.05	181 	4.912
1007	18.05	181 	4.917
1008	18.05	181 	4.922
1009	18.05	181 	4.927
1010	18.05	181 	4.932
1011	18.05	181 	4.937
1012	18.05	181 	4.941
1013	18.05	181 	4.946
1014	18.05	181 	4.951
1015	18.05	181 	4.956
1016	18.05	181 	4.961
1017	18.05	181 	4.966
1018	18.05	181 	4.971
1019	18.05	181 	4.976
1020	18.05	181 	4.980
1021	18.05	181 	4.985
1022	18.05	181 	4.990
1023	18.05	181 	4.995
