#Firmware: Speeduino 2020.08
ToothTime,Time
uS,uS
5.9049837E8,5.9049837E8
64672.0,5.9056307E8
72412.0,5.9063546E8
61228.0,5.906967E8
63032.0,5.9075974E8
49656.0,5.9080941E8
58728.0,5.9086816E8
46104.0,5.9091424E8
58568.0,5.909728E8
45452.0,5.9101824E8
57708.0,5.9107597E8
45532.0,5.9112147E8
57512.0,5.9117901E8
45472.0,5.9122445E8
57144.0,5.912816E8
45040.0,5.9132666E8
58272.0,5.9138496E8
45448.0,5.914304E8
58104.0,5.9148851E8
45968.0,5.9153446E8
58072.0,5.9159251E8
46328.0,5.9163885E8
58060.0,5.916969E8
45892.0,5.9174278E8
59296.0,5.9180211E8
46608.0,5.918487E8
59296.0,5.9190797E8
47004.0,5.9195494E8
59276.0,5.9201421E8
47200.0,5.9206144E8
58936.0,5.9212038E8
46928.0,5.921673E8
60204.0,5.9222752E8
47428.0,5.9227494E8
60092.0,5.9233504E8
47924.0,5.9238298E8
59956.0,5.9244294E8
48008.0,5.9249094E8
59704.0,5.9255066E8
47680.0,5.9259834E8
60456.0,5.9265882E8
47636.0,5.9270643E8
60412.0,5.9276685E8
48340.0,5.9281517E8
60460.0,5.9287565E8
48676.0,5.9292435E8
60204.0,5.9298458E8
48308.0,5.930329E8
61428.0,5.9309434E8
48976.0,5.931433E8
61344.0,5.9320461E8
49360.0,5.9325395E8
61220.0,5.933152E8
49420.0,5.9336461E8
61012.0,5.934256E8
49092.0,5.9347469E8
61220.0,5.9353594E8
48720.0,5.9358464E8
61152.0,5.9364582E8
49448.0,5.936953E8
61468.0,5.9375674E8
49896.0,5.9380666E8
61384.0,5.9386803E8
49512.0,5.9391757E8
61764.0,5.9397933E8
49560.0,5.9402886E8
61632.0,5.940905E8
50044.0,5.9414054E8
62104.0,5.9420262E8
61612.0,5.9426426E8
80220.0,5.9434445E8
81340.0,5.9442579E8
5.9616646E8,1.19059226E9
70416.0,1.19066266E9
73504.0,1.19073613E9
62240.0,1.19079834E9
65844.0,1.19086413E9
